Model,RMSE (Train),RMSE (Test),R² Score
Ridge Regression,0.14012535929780293,0.05945412335197701,0.9961024187509909
XGBoost,0.0007022126851660623,0.22638999277303318,0.9434873505188716
Gradient Boosting,3.266073570870507e-05,0.24729544405491122,0.9325684025270622
KNN (k=5),0.2514797495895012,0.25442193354196035,0.9286259541984734
Random Forest,0.06645964530668663,0.2605968341304397,0.9251193702290076
Linear Regression,0.07112807720424037,0.2925385775373722,0.9056379193842556
Decision Tree,0.0,0.29417363698928733,0.9045801526717557
SVM,0.1291763741046312,0.32016108578590463,0.8869766160961013
AdaBoost,0.0440278784734049,0.32433894192205515,0.8840076335877862
Lasso Regression,1.0115627936718556,0.9523516551680106,-5.9637404580259457e-05
